broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Dendritic cell,Plasmacytoid,JCHAIN,Human,Thymus,Thymus,Normal,Normal cell,Plasmacytoid dendritic cell(pDC)
Dendritic cell,Plasmacytoid,IL3RA,Human,Thymus,Thymus,Normal,Normal cell,Plasmacytoid dendritic cell(pDC)
Dendritic cell,Plasmacytoid,CLEC4C,Human,Thymus,Thymus,Normal,Normal cell,Plasmacytoid dendritic cell(pDC)
Dendritic cell,Plasmacytoid,Irf8,Human,Thymus,Thymus,Normal,Normal cell,Plasmacytoid dendritic cell(pDC)
Dendritic cell,Plasmacytoid,Irf7,Human,Thymus,Thymus,Normal,Normal cell,Plasmacytoid dendritic cell(pDC)
Dendritic cell,Plasmacytoid,Il3ra,Human,Thymus,Thymus,Normal,Normal cell,Plasmacytoid dendritic cell(pDC)
Dendritic cell,Plasmacytoid,Spib,Human,Thymus,Thymus,Normal,Normal cell,Plasmacytoid dendritic cell(pDC)
Progenitor cell,,SPINK2,Human,Thymus,Fetal thymus,Normal,Normal cell,Progenitor cell
Progenitor cell,,CD34,Human,Thymus,Thymus,Normal,Normal cell,Progenitor cell
Thymic epithelial cell,Proliferating,Mki67,Human,Thymus,Epithelium,Normal,Normal cell,Proliferating medullary thymic epithelial cell
Thymic epithelial cell,Medullary,Aire,Human,Thymus,Epithelium,Normal,Normal cell,Proliferating medullary thymic epithelial cell
Red blood cell,,HBG1,Human,Thymus,Blood vessel,Normal,Normal cell,Red blood cell (erythrocyte)
Red blood cell,,HBA1,Human,Thymus,Blood vessel,Normal,Normal cell,Red blood cell (erythrocyte)
Red blood cell,,GYPA,Human,Thymus,Blood vessel,Normal,Normal cell,Red blood cell (erythrocyte)
T cell,Regulatory,Foxp3,Human,Thymus,Thymus,Normal,Normal cell,Regulatory T (Treg) cell
T cell,Regulatory,FOXP3,Human,Thymus,Thymus,Normal,Normal cell,Regulatory T (Treg) cell
T cell,Regulatory,Helios,Human,Thymus,Thymus,Normal,Normal cell,Regulatory T(Treg) cell
T cell,Regulatory,MIR155HG,Human,Thymus,Thymus,Normal,Normal cell,Regulatory T(Treg) cell
T cell,Regulatory,CTLA4,Human,Thymus,Thymus,Normal,Normal cell,Regulatory T(Treg) cell
T cell,Regulatory,FOXP3,Human,Thymus,Thymus,Normal,Normal cell,Regulatory T(Treg) cell
T cell,Regulatory,IKZF4,Human,Thymus,Thymus,Normal,Normal cell,Regulatory T(Treg) cell
Secretory cell,Secretory,Gp2,Human,Thymus,Epithelium,Normal,Normal cell,Secretory cell
Stem cell,,CD34,Human,Thymus,Fetal thymus,Normal,Normal cell,Stem cell
Stem cell,,CD34,Human,Thymus,Thymus,Normal,Normal cell,Stem cell
Stromal cell,,IVL,Human,Thymus,Blood vessel,Normal,Normal cell,Stromal cell
Stromal cell,,PSMB11,Human,Thymus,Blood vessel,Normal,Normal cell,Stromal cell
Stromal cell,,FOXN1,Human,Thymus,Blood vessel,Normal,Normal cell,Stromal cell
Stromal cell,,MYOD1,Human,Thymus,Blood vessel,Normal,Normal cell,Stromal cell
Stromal cell,,AIRE,Human,Thymus,Blood vessel,Normal,Normal cell,Stromal cell
Stromal cell,,CLDN4,Human,Thymus,Blood vessel,Normal,Normal cell,Stromal cell
Stromal cell,,NEUROD1,Human,Thymus,Blood vessel,Normal,Normal cell,Stromal cell
Stromal cell,,LY75,Human,Thymus,Blood vessel,Normal,Normal cell,Stromal cell
T cell,,TRBC2,Human,Thymus,Fetal thymus,Normal,Normal cell,T cell
T cell,,CD3D,Human,Thymus,Fetal thymus,Normal,Normal cell,T cell
T cell,,CD1B,Human,Thymus,Fetal thymus,Normal,Normal cell,T cell
